党,トウ・なかま・むら,party; faction; clique
塗,ト・ぬ.る・ぬ.り・まみ.れる,paint; plaster; daub; smear; coating
軒,ケン・のき,flats; counter for houses; eaves
毒,ドク,poison; virus; venom; germ; harm; injury; spite
叫,キョウ・さけ.ぶ,shout; exclaim; yell
拝,ハイ・おが.む・おろが.む,worship; adore; pray to
氷,ヒョウ・こおり・ひ・こお.る,icicle; ice; hail; freeze; congeal
乾,カン・ケン・かわ.く・かわ.かす・ほ.す・ひ.る・いぬい,drought; dry; dessicate; drink up; heaven; emperor
棒,ボウ,rod; stick; cane; pole; club; line
祈,キ・いの.る,pray; wish
拾,シュウ・ジュウ・ひろ.う,pick up; gather; find; go on foot; ten
粉,フン・デシメートル・こ・こな,flour; powder; dust
糸,シ・いと,thread
綿,メン・わた,cotton
汗,カン・あせ,sweat; perspire
銅,ドウ・あかがね,copper
湿,シツ・シュウ・しめ.る・しめ.す・うるお.う・うるお.す,damp; wet; moist
瓶,ビン・かめ,bottle; vial; jar; jug; vat; urn
咲,ショウ・さ.く・~ざき,blossom; bloom
召,ショウ・め.す,seduce; call; send for; wear; put on; ride in; buy; eat; drink; catch (cold)
缶,カン・かま,tin can; container; jar radical (no. 121)
隻,セキ,vessels; counter for ships; fish; birds; arrows; one of a pair
脂,シ・あぶら,fat; grease; tallow; lard; rosin; gum; tar
蒸,ジョウ・セイ・む.す・む.れる・む.らす,steam; heat; sultry; foment; get musty
肌,キ・はだ,texture; skin; body; grain
耕,コウ・たがや.す,till; plow; cultivate
鈍,ドン・にぶ.い・にぶ.る・にぶ~・なま.る・なまく.ら,dull; slow; foolish; blunt
泥,デイ・ナイ・デ・ニ・どろ・なず.む,mud; mire; adhere to; be attached to
隅,グウ・すみ,corner; nook
灯,トウ・ひ・ほ~・ともしび・とも.す・あかり,lamp; a light; light; counter for lights
辛,シン・から.い・つら.い・~づら.い・かのと,spicy; bitter; hot; acrid
磨,マ・みが.く・す.る,grind; polish; scour; improve; brush (teeth)
麦,バク・むぎ,barley; wheat
姓,セイ・ショウ,surname
筒,トウ・つつ,cylinder; pipe; tube; gun barrel; sleeve
鼻,ビ・はな,nose; snout
粒,リュウ・つぶ,grains; drop; counter for tiny particles
詞,シ・ことば,part of speech; words; poetry
胃,イ,stomach; paunch; crop; craw
畳,ジョウ・チョウ・たた.む・たたみ・かさ.なる,tatami mat; counter for tatami mats; fold; shut up; do away with
膚,フ・はだ,skin; body; grain; texture; disposition
机,キ・つくえ,desk; table
濯,タク・すす.ぐ・ゆす.ぐ,laundry; wash; pour on; rinse
塔,トウ,pagoda; tower; steeple
灰,カイ・はい,ashes; puckery juice; cremate
沸,フツ・わ.く・わ.かす,seethe; boil; ferment; uproar; breed
菓,カ,candy; cakes; fruit
帽,ボウ・モウ・ずきん・おお.う,cap; headgear
枯,コ・か.れる・か.らす,wither; die; dry up; be seasoned
涼,リョウ・すず.しい・すず.む・すず.やか・うす.い・ひや.す・まことに,refreshing; nice and cool
舟,シュウ・ふね・ふな~・~ぶね,boat; ship
貝,バイ・かい,shellfish
符,フ,token; sign; mark; tally; charm
憎,ゾウ・にく.む・にく.い・にく.らしい・にく.しみ,hate; detest
皿,ベイ・さら,dish; a helping; plate
肯,コウ・がえんじ.る,agreement; consent; comply with
燥,ソウ・はしゃ.ぐ,parch; dry up
畜,チク,livestock; domestic fowl and animals
挟,キョウ・ショウ・はさ.む・はさ.まる・わきばさ.む・さしはさ.む,pinch; between
曇,ドン・くも.る,cloudy weather; cloud up
滴,テキ・しずく・したた.る,drip; drop
伺,シ・うかが.う,pay respects; visit; ask; inquire; question; implore
